Noise Level,Accuracy,Mean Prediction Confidence,Mean Correct-Class Confidence,Wrong Predictions,Mean Wrong Confidence
0.0,0.9824561403508771,0.955382171927042,0.9458582018904387,2,0.7714331460431961
0.1,0.9824561403508771,0.958779712279556,0.9477912680504181,2,0.8131706605304285
0.2,0.9824561403508771,0.9595726231855877,0.9473266373055945,2,0.8490105975798072
0.30000000000000004,0.9736842105263158,0.960648438399263,0.9448569390315642,3,0.8000384879862755
0.4,0.9649122807017544,0.9643157060038878,0.941409728805411,4,0.8264101750782954
0.5,0.9649122807017544,0.9658940706265804,0.9377001895555,4,0.9017628052628935
0.6000000000000001,0.9649122807017544,0.9645956106895438,0.9334422574138295,4,0.9439352841789289
0.7000000000000001,0.9649122807017544,0.9607105730276796,0.9280170621321712,4,0.9658825302609952
0.8,0.956140350877193,0.9571220076298885,0.9211704650005929,5,0.909847585973971
0.9,0.9298245614035088,0.9537840868754329,0.9131554617945415,8,0.7894789537013508
1.0,0.9298245614035088,0.9546461548594407,0.9044981157221548,8,0.8573047788531623
