Model,Mean Acc,Std Acc,Noise Mean Acc,Noise Std Acc
Logistic Regression,0.9798245614035088,0.011780046211928056,0.9742690058479532,0.013999753869306778
SVM,0.9760233918128656,0.014373811381169924,0.9730994152046784,0.014188015400728535
Random Forest,0.9602339181286549,0.016408083081856418,0.9593567251461989,0.017766782932197578
Decision Tree,0.9292397660818713,0.0289499653579777,0.9149122807017543,0.0344119745575975
