Threshold,Coverage,Accuracy,Refusal Rate,Accepted Predictions,Refused Predictions
0.5,1.0,0.956140350877193,0.0,114,0
0.6,0.9824561403508771,0.9553571428571429,0.017543859649122806,112,2
0.7,0.9385964912280702,0.9626168224299065,0.06140350877192982,107,7
0.8,0.9122807017543859,0.9615384615384616,0.08771929824561403,104,10
0.9,0.8771929824561403,0.96,0.12280701754385964,100,14
